Company Name,ISIN,Target Qualification,Country,Region,Sector,Status,Date Committed / Target published,About
Philip Morris International,US7181721090,2C,United States of America (USA),North America,Tobacco,Targets Set,Jun 2017,"American global cigarette and tobacco company Philip Morris International commits to reduce absolute scope 1 and 2 GHG emissions 40% from 2010 to 2030 and 60% by 2040. The company also commits to reduce absolute value chain GHG emissions (scopes 1, 2 and 3) 40% from 2010 to 2030."
Pick 'n Pay Stores Ltd,ZAE000005443,,South Africa,Africa,Food and Staples Retailing,Committed,Jun 2015,
PostNord AB,,Well-below 2C,Sweden,Europe,Air Freight Transportation and Logistics,Targets Set,Apr 2016,"Service provider of the global postal industry PostNord commits to reducing scope 1, 2, and 3 absolute GHG emissions 40% from 2009 to 2020. Read the PostNord Case Study."
"Principal Financial Group, Inc.",US74251V1026,,United States of America (USA),North America,"Banks, Diverse Financials and Insurance",Committed,Jun 2015,
Procter & Gamble Company,US7427181091,Well-below 2C,United States of America (USA),North America,Consumer Products and Durables,Targets Set,May 2018,"American consumer goods corporation Procter &amp; Gamble commits to reduce emissions from operations 50% by 2030 from a 2010 base-year. Within this timeframe, the company will also address the main source of emissions across its value chain by measures including: ensuring that 70% of all washing machine loads are washed in cold water, doubling the use of post-consumer resin in plastic packaging and ensuring zero deforestation in the palm oil supply chain. Read the Procter &amp; Gamble Case Study."
Proximus,BE0003810273,Well-below 2C,Belgium,Europe,Telecommunications,Targets Set,Jul 2016,"Belgian mobile telecommunications company Proximus commits to reduce absolute Scope 1 and 2 GHG emissions by 30% between 2015 and 2025. Proximus further commits to reduce total Scope 3 GHG emissions by 50% between 2014 and 2040, with an interim milestone target of 10% reduction by 2025"
PSA Automobiles SA,FR0000121501,2C,France,Europe,Automobiles and Components,Targets Set,Nov 2019,"PSA Automobiles SA commits to reduce absolute scope 1 and 2 GHG emissions 20% by 2034 from a 2018 base year. PSA Automobiles SA also commits to reduce scope 3 GHG emissions from use of sold products 37% per vehicle kilometer by 2034 from a 2018 base year.*

*The target boundary includes biogenic emissions and removals from bioenergy feedstocks."
PTT Global Chemical,TH1074010006,,Thailand,Asia,Chemicals,Committed,Aug 2016,
Pukka Herbs,,1.5C,United Kingdom (UK),Europe,Retailing,Targets Set,Nov 2018,Bristol-based tea company Pukka Herbs commits to reduce absolute Scope 1 &amp; 2 GHG emissions 100% by 2030 from a 2017 base-year.  Pukka Herbs also commits to reduce Scope 3 GHG emissions from crop to cup 50% per million units of products by 2030 from a 2017 base-year.
"Ricoh Co., Ltd.",JP3973400009,1.5C,Japan,Asia,Technology Hardware and Equipment,Targets Set,Mar 2020,"Japanese multinational imaging and electronics company Ricoh  commits to reduce absolute scope 1 and 2 GHG emissions 63% by 2030 from a 2015 base year. In addition, Ricoh commits to reduce absolute scope 3 GHG emissions from purchased goods and services, transportation, and product use emissions 20% by 2030 from a 2015 base year.*

The target boundary includes biogenic emissions and removals associated with the use of bioenergy."
Royal BAM Group,NL0000337319,2C,Netherlands,Europe,Construction and Engineering,Targets Set,Apr 2019,Dutch construction-services business Royal BAM Group commits to reduce scope 1 and 2 GHG emissions 50% per Euro revenue by 2030 from a 2015 base-year. Royal BAM Group commits to reduce absolute scope 3 GHG emissions 20% by 2030 from a 2017 base-year. Royal BAM Group also commits to increase annual sourcing of renewable electricity from 50% in 2017 to 100% by 2030.
Royal Philips,NL0000009538,1.5C,Netherlands,Europe,Electrical Equipment and Machinery,Targets Set,Dec 2018,"Global health technology company Royal Philips commits to reduce absolute scope 1 and scope 2 GHG emissions 75% by 2025, and 90% by 2040, from a 2015 base-year.  Royal Philips also commits to reduce absolute scope 3 GHG emissions 4% by 2025, and 11% by 2040, from a 2017 base-year."
Safaricom Limited,,Well-below 2C,Kenya,Africa,Telecommunications,Targets Set,Aug 2019,Kenyan mobile network operator  Safaricom PLC commits to reduce absolute scope 1 and 2 GHG emissions 43% by 2030 and 74% by 2050 from a 2017 base year. Safaricom PLC commits to reduce absolute scope 3 GHG emissions 41% by 2030 and 72% by 2050 from a 2017 base year. Safaricom PLC also commits that 10% of its suppliers by spend covering purchased goods and services will set science-based scope 1 and 2 targets by 2023.
SAP SE,DE0007164600,1.5C,Germany,Europe,Software and Services,Targets Set,Oct 2019,"German multinational software corporation SAP  commits to reduce total scope 1, 2 and 3 GHG emissions 40% by 2025, using a 2016 base year. This target is an important milestone in reducing emissions 85% by 2050, using a 2016 base year."
Essity AB,SE0009922164,2C,Sweden,Europe,Consumer Products and Durables,Targets Set,Dec 2018,"Global hygiene and health company Essity commits to reduce absolute Scope 1 and 2 GHG emissions 25% by 2030 from a 2016 base-year. Essity also commits to reduce absolute Scope 3 GHG emissions 18% by 2030 from a 2016 base-year. The Scope 3 target covers purchased key raw materials, transport, waste generated in operations and end of life treatment of sold products."
Schneider Electric,FR0000121972,1.5C,France,Europe,Electrical Equipment and Machinery,Targets Set,Sep 2019,French multinational corporation Schneider Electric commits to reduce absolute scope 1 and 2 GHG emissions 100% and absolute scope 3 emissions 35% by 2030 from a 2017 base year. Schneider Electric also commits to increase annual sourcing of renewable electricity from 30% in 2018 to 100% by 2030.
Seagate Technology,IE00B58JVZ52,Well-below 2C,Ireland,Europe,Technology Hardware and Equipment,Targets Set,Aug 2019,American data storage company Seagate Technology LLC commits to reduce absolute scope 1 and scope 2 GHG emissions 20% by 2025 and 60% by 2040 from a 2017 base year. Seagate Technology LLC also commits to reduce absolute scope 3 GHG emissions 20% by 2025 and 60% by 2040 from a 2017 base year.
"Sekisui House, LTD",JP3420600003,Well-below 2C,Japan,Asia,Homebuilding,Targets Set,Apr 2018,"Japanese house manufacturing company Sekisui House, LTD commits to reduce absolute scope 1 and 2 greenhouse gas emissions 50% by 2030 from a 2013 base year. Sekisui House, LTD also commits to reduce the absolute scope 3 emissions from the use of sold products 45% by 2030, using a 2013 base year."
Senior Plc,GB0007958233,,United Kingdom (UK),Europe,Aerospace and Defense,Committed,Sep 2015,
SGS SA,CH0002497458,2C,Switzerland,Europe,Professional Services,Targets Set,Apr 2018,"Multinational inspection, verification, testing and certification company SGS commits to reduce scope 1, scope 2 and scope 3 (business travel) emissions per unit of revenue 45% by 2025 and 55% by 2030, from a 2014 base year. SGS also commits to reduce other scope 3 emissions per unit of revenue 50% by 2030, from a 2014 base year. The second target covers purchased goods and services, capital goods, fuel- and energy-related activities, waste generated in operations, and employee commuting."
Shimizu Corporation,JP3358800005,Well-below 2C,Japan,Asia,Construction and Engineering,Targets Set,Aug 2019,"Architectural, civil engineering and general contracting firm Shimizu Corporation commits to reduce absolute scope 1 and 2 GHG emissions 33% by 2030 and 63% by 2050 from a 2017 base year. Shimizu Corporation also commits to reduce absolute scope 3 GHG emissions 20% by 2030 and 43% by 2050 from a 2017 base year"
SIG Combibloc,CH0435377954,1.5C,Switzerland,Europe,Containers and Packaging,Targets Set,Dec 2019,"Swiss packaging maker SIG SIG commits to reduce absolute scope 1 and 2 GHG emissions 60% by 2030 from a 2016 base year. In addition, the company commits to reduce GHG emissions per liter packed 25% by 2030, from a 2016 base-year (target includes scope 1, scope 2 & scope 3 emissions from Purchased Goods and Services, Use of Sold Products, and End of Life Treatment)."
Groupe Public Ferroviaire (GPF) – SNCF,,2C,France,Europe,Ground Transportation - Railroads,Targets Set,Nov 2019, Passenger and goods transportation company Groupe Public Ferroviaire (GPF) – SNCF commits to reduce absolute scope 1 and 2 GHG emissions 26% by 2030 from a 2017 base-year. Groupe Public Ferroviaire (GPF) – SNCF also commits to reduce absolute scope 3 GHG emissions from fuel and energy related activities 26% by 2030 from a 2017 base-year. SNCF Groupe commits that 70% of its suppliers by emissions will set science-based targets by 2024.
Societe Generale,FR0000130809,,France,Europe,"Banks, Diverse Financials and Insurance",Committed,Apr 2016,
Sodexo,FR0000121220,1.5C,France,Europe,Hospitality,Targets Set,Sep 2019,"French food services and facilities management company Sodexo commits to reduce absolute scope 1, 2 and 3 GHG emissions 34% by 2025 from a 2017 base year. Sodexo also commits to increase annual sourcing of renewable electricity from 20% in 2017 to 100% by 2025."
Sofidel S.p.A.,,,Italy,Europe,,Committed,Dec 2015,
Sony Corporation,US8356993076,2C,Japan,Asia,Consumer Products and Durables,Targets Set,Nov 2015,"Japanese multinational conglomerate Sony commits to reduce GHG emissions from its operations by 42% below fiscal year 2000 levels by fiscal year 2020. Also, the company has a long-term vision of reducing its environmental footprint to zero by 2050, requiring a 90% reduction in GHG emissions over 2008 levels by 2050 (scopes 1, 2, and 3). Read the Sony Case Study."
Sopra Steria Group,FR0000050809,1.5C,France,Europe,Software and Services,Targets Set,Oct 2019,"European information technology consultancy Sopra Steria

to reduce absolute scope 1 and 2 GHG emissions 42% and scope 3 GHG emissions from business travel and off-site data centers 21% by 2025 from a 2015 base year. This 2025 goal will keep the company on track for an 85% reduction in emissions per employee by 2040 from the 2015 base year.

Sopra Steria also commits that 70% of its suppliers by emissions will manage their GHG emissions and 90% of these suppliers will have GHG reduction targets by 2025."
SSE,GB0007908733,,United Kingdom (UK),Europe,Electric Utilities and Energy Related,Committed,Oct 2015,
Stora Enso,FI0009005961,2C,Finland,Europe,Forest and Paper Products,Targets Set,Dec 2017,"Pulp and paper manufacturer Stora Enso commits to reduce GHG emissions from operations 31% per tonne of pulp, paper and board produced by 2030 from a 2010 base-year. To reduce Scope 3 emissions, Stora Enso commits to have 70% of suppliers and downstream transportation suppliers in terms of spend set their own GHG reduction targets by 2025, towards the aim that these suppliers adopt science-based GHG reduction targets by 2030. In addition, the company will educate 100% of customer-facing staff on the advantages of setting science-based targets by 2020."
SUEZ,FR0010613471,2C,France,Europe,Water Utilities,Targets Set,Jan 2018,French-based utility company SUEZ commits to reducing its absolute scope 1 and 2 emissions 30% by 2030 from a 2014 base year.
Swisscom,CH0008742519,1.5C,Switzerland,Europe,Telecommunications,Targets Set,Sep 2016,"Major telecommunications provider Swisscom commits to reduce its scope 1 GHG emissions by 10%, its scope 2 GHG emissions by 100%, and its scope 3 GHG emissions by 18%, all by 2020 from 2013 levels."
Symrise AG,DE000SYM9999,2C,Germany,Europe,Consumer Products and Durables,Targets Set,Jul 2017,"Producer of flavours and fragrances Symrise commits to reduce scope 1 and 2 GHG emissions 18% by 2030, using a 2016 base year. Furthermore, Symrise commits that 80% of key suppliers will institute GHG reduction targets by 2020."
T.GARANT_ BANKASI A._.,TRAGARAN91N1,,Turkey,Asia,"Banks, Diverse Financials and Insurance",Committed,Jun 2016,
Taisei Corporation,JP3443600006,2C,Japan,Asia,Construction and Engineering,Targets Set,Feb 2019,Building construction company Taisei commits to reduce absolute scope 1 and 2 GHG emissions 26% by 2030 from a 2013 base year. Taisei also commits to reduce absolute scope 3 GHG emissions from use of sold products 25% within the same timeframe.
Teachers Mutual Bank,,,Australia,Oceania,"Banks, Diverse Financials and Insurance",Committed,Nov 2015,
Tech Mahindra,INE669C01036,2C,India,Asia,Software and Services,Targets Set,Feb 2019,"Indian multinational provider of information technology Tech Mahindra commits to reduce absolute scopes 1 and 2 GHG emissions 22% by 2030 and 50% by 2050, from a 2016 base-year."
TELEFÓNICA,ES0178430E18,1.5C,Spain,Europe,Telecommunications,Targets Set,Dec 2019,"Multinational telecommunications company, Telefónica, commits to reducing absolute scope 1 and GHG emissions 50% by 2025 and 70% by 2030 from a 2015 base year."
Telekom Austria AG,AT0000720008,,Austria,Europe,Telecommunications,Committed,Mar 2017,
Tennant Company,US8803451033,2C,United States of America (USA),North America,Electrical Equipment and Machinery,Targets Set,Apr 2018,Global manufacturer of commercial cleaning equipment and solutions Tennant Company commits to reduce absolute scope 1 and 2 emissions 25% by 2030 from a 2016 base year. Tennant also commits to reduce scope 3 use of sold products emissions 50% per $USD of equipment revenue by 2030 from a 2016 base-year.
TETRA PAK,,Well-below 2C,Sweden,Europe,Containers and Packaging,Targets Set,Feb 2017,"Multinational food packaging and processing company Tetra Pak commits to reduce scope 1 and 2 GHG emissions 42% by 2030, and 58% by 2040 from a 2015 base-year. In addition, the company commits to reduce GHG emissions 16% per unit of revenue by 2020 from a 2010 base-year (scope 1+2+3). Read the Tetra Pak Case Study."
Thalys,,Well-below 2C,Belgium,Europe,Ground Transportation - Railroads,Targets Set,Oct 2015,"International high-speed train operator Thalys commits to reduce corporate scope 1, 2 and 3 GHG emissions per passenger kilometer by 41.4% by 2020, compared to a 2008 base-year. Scope 3 emissions covered by the target are approximately 50% of the total scope 3 carbon footprint. For the other 50%, Thalys commits to engage with the maintenance management suppliers to formulate more explicit targets to reduce these emissions. Read the Thalys Case Study."
Tiger Brands,ZAE000071080,,South Africa,Africa,Food and Beverage Processing,Committed,Jun 2015,
TODA Corporation,JP3627000007,2C,Japan,Asia,Construction and Engineering,Targets Set,Aug 2017,"Construction company TODA Corporation commits to reduce absolute Scope 1 and 2 carbon dioxide emissions by 35 percent between 2010 and 2030, based on a 2.1 percent compounding annual reduction target. The annual and mid-term targets support TODA Corporation’s 2050 goal of reducing scope 1 and 2 CO2 emissions by 57 percent below 2010 levels. To address value chain emissions, TODA Corporation also commits to reduce the Scope 3 emissions intensity of its constructed product by 55 percent between 2010 and 2050."
Toyota Motor Corporation,JP3633400001,,Japan,Asia,Automobiles and Components,Committed,Jan 2016,
TSKB,TRATSKBW91N0,,Turkey,Asia,"Banks, Diverse Financials and Insurance",Committed,Jun 2015,
Unicharm Corporation,JP3951600000,2C,Japan,Asia,Consumer Products and Durables,Targets Set,Jun 2018,"Disposable hygiene products manufacturer Unicharm Corporation commits to reduce its absolute scope 1 and 2 GHG emissions 34% by 2030, using a 2016 base year. Unicharm Corporation also commits to reduce its absolute scope 3 emissions 18% by 2030, using a 2016 base year. The scope 3 target covers purchased goods and services and the end-of-life treatment of sold products."
Unilever plc,GB00B10RZP78,1.5C,United Kingdom (UK),Europe,Consumer Products and Durables,Targets Set,Jun 2017,"Dutch-British transnational consumer goods company, Unilever commits to reduce scope 1 and 2 GHG emissions 100% by 2030 from a 2015 base year. The company also commits to reduce GHG emissions from the life-cycle of their products 50%  per consumer use by 2030 from a  2010 base-year."
Unite Students,GB0006928617,,United Kingdom (UK),Europe,Real Estate,Committed,Oct 2015,
UPM-Kymmene Corporation,FI0009005987,2C,Finland,Europe,Forest and Paper Products,Targets Set,Aug 2019,"Finnish forest industry company UPM commits to reduce scope 1 and 2 GHG emissions 30% per tonne of pulp and paper by 2030 from a 2008 base-year. UPM also commits to reduce scope 3 GHG emissions 30% per tonne of pulp and paper by 2030 from a 2017 base-year.

 	The target boundary includes biogenic emissions and removals associated with the use of bioenergy."
Verbund AG,AT0000746409,Well-below 2C,Austria,Europe,Electric Utilities and Energy Related,Targets Set,Oct 2016,"Austrian electricity provider Verbund commits to reduce GHG emissions 90% by 2021 from a 2011 base-year (Scope 1, Scope 2, and scope 3 emissions from fuel-and-energy related activities and business air travel). This is a milestone in the long term goal to achieve carbon neutrality by 2050."
"Wal-Mart Stores, Inc.",US9311421039,2C,United States of America (USA),North America,Food and Staples Retailing,Targets Set,Nov 2016,"American multinational retailing corporation Walmart commits to reduce absolute scope 1 and 2 GHG emissions 18% by 2025, from 2015 levels. Walmart will also work to reduce CO2e emissions from upstream and downstream scope 3 sources by one billion tonnes between 2015 and 2030."
Westpac Banking Corporation,AU000000WBC1,,Australia,Oceania,"Banks, Diverse Financials and Insurance",Committed,Nov 2015,
Wipro,INE075A01022,Well-below 2C,India,Asia,Software and Services,Targets Set,Oct 2018,"Information technology, consulting and business process services company, Wipro commits to reduce absolute scope 1 and 2 GHG emissions 14% by 2022 and 48% by 2030, from a 2017 base-year. In addition, Wipro commits to reduce absolute scope 3 GHG emissions 10% by 2022and 30% by 2030 from a 2017 base-year for business travel, employee commute, upstream fuel and energy related emissions."
Woolworths Holdings Ltd,AU000000WOW2,,South Africa,Africa,Retailing,Committed,Oct 2015,
Xerox Corporation,US9841211033,,United States of America (USA),North America,Technology Hardware and Equipment,Committed,Jan 2019,
Takeda Pharmaceutical Company,JP3463000004,,Japan,Asia,Pharmaceuticals and Biotech,Committed,Jun 2017,
Marks & Spencer,GB0031274896,Well-below 2C,United Kingdom (UK),Europe,Retailing,Targets Set,Jun 2017,"British multinational retailer Marks &amp; Spencer commits to reduce absolute scope 1 and 2 GHG emissions 80% by 2030 below 2007 levels and has a longer term vision to achieve 90% absolute GHG emissions reductions by 2035, below 2007 levels. Marks &amp; Spencer also commits to reduce scope 3 GHG emissions by 13.3 MtCO2e between 2017 and 2030."
Bennetts Associates,,1.5C,United Kingdom (UK),Europe,Construction and Engineering,Targets Set,Mar 2019,"UK based architectural practices Bennetts Associates commits to reduce absolute scope 1 and 2 GHG emissions 26% by 2022 from a 2016 base-year. Bennetts Associates also commits to reduce absolute scope 3 GHG emissions from fuel- and energy-related activities, upstream leased assets, and business travel 26% within the same timeframe."
Bacardi Limited,BMG069051065,1.5C,Bermuda,North America,Food and Beverage Processing,Targets Set,Jul 2018,"Family-owned spirits company, Bacardi Limited commits to reduce absolute Scope 1 &amp; 2 GHG emissions 50% by 2025 from a 2015 base-year. Bacardi Limited also commits to reduce absolute value chain GHG emissions (scopes 1, 2 and 3) 20% by 2025 from a 2015 base-year."
Tesco,GB0008847096,1.5C,United Kingdom (UK),Europe,Food and Staples Retailing,Targets Set,Jun 2017,"British multinational grocery and general merchandise retailer Tesco commits to reduce scope 1 and 2 GHG emissions 60% by 2025, using a 2015 base-year. Tesco also commits to reduce its scope 3 GHG emissions 17% by 2030, using a 2015 base-year. The emissions categories covered by the scope 3 target are purchased goods and services (supply chain), fuel and energy related activities, upstream transportation and distribution, and waste generated in operations. "
"Taiwan Mobile Co., Ltd",TW0003045001,2C,"Taiwan, Province of China",Asia,Telecommunications,Targets Set,Jul 2019,Wireless communication service provider Taiwan Mobile Co. Ltd. commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2030 from a 2016 base year.  Taiwan Mobile Co. Ltd. also commits to reduce absolute scope 3 GHG emissions 15% by 2030 from a 2018 base year.
Seiko Epson Corporation,JP3414750004,2C,Japan,Asia,Technology Hardware and Equipment,Targets Set,Nov 2018,Japanese electronics company Seiko Epson commits to reduce absolute scope 1 and 2 GHG emissions 19% by FY2025 from a FY2017 base-year. Seiko Epson also commits to reduce scope 3 emissions from purchased goods and services and use of sold products per unit of value added 44% by FY2025 from a FY2017 base-year.
Danieli & C. Officine Meccaniche S.p.A.,IT0000076486,Well-below 2C,Italy,Europe,Electrical Equipment and Machinery,Targets Set,Aug 2019,Italian supplier of equipment and physical plants to the metal industry Danieli Group commits to reduce absolute scope 1 and 2 GHG emissions 36% by 2030 from a 2017 base year. Danieli Group also commits to reduce scope 3 GHG emissions 62% per dollar value added by 2030 from a 2017 base year.
Veolia Environnement S.A.,FR0000124141,2C,France,Europe,Water Utilities,Targets Set,Oct 2019,"French transnational company Veolia commits to reduce absolute scope 1 and 2 GHG emissions 22% by 2034 from a 2018 base year.

The target boundary includes biogenic emissions and removals associated with the use of bioenergy based on applicable EU and French regulation."
Carlsberg Group,DK0010181759,1.5C,Denmark,Europe,Food and Beverage Processing,Targets Set,Jun 2017,"Global brewer Carlsberg commits to achieving zero GHG emissions from its breweries by 2030, from a 2015 base year, which is equivalent to reducing total scope 1 and 2 GHG emissions 92%. This is supported by a 2022 target to reduce the GHG emissions from breweries by 50%, which is equivalent to reducing total scope 1 and 2 emissions by 46%. Carlsberg also commits to reduce its beer-in-hand value chain GHG emissions (scope 1, 2 and 3) 30% by 2030, from a 2015 base year, with a 2022 target to reduce GHG emissions by 15%."
Celestica,CA15101Q1081,,Canada,North America,Technology Hardware and Equipment,Committed,Jun 2017,
Orkla ASA,NO0003733800,1.5C,Norway,Europe,Food and Beverage Processing,Targets Set,Oct 2018,Branded consumer goods company Orkla ASA commits to reduce absolute Scope 1 and 2 GHG emissions 63% by 2025 and 77% by 2040 from a 2014 base-year. Orkla ASA also commits to reduce absolute Scope 3 GHG emission 29% by 2025 and 75% by 2040 from a 2014 base-year.
Emira Property Fund Ltd,ZAE000050712,2C,South Africa,Africa,Real Estate,Targets Set,Jul 2018,Real estate investment trust company Emira Property Fund commits to reduce absolute scope 1 and 2 GHG emissions 13% by 2022 from a 2015 base year.
Emtelle UK LTD,,,United Kingdom (UK),Europe,Telecommunications,Committed,Jun 2017,
FUJIFILM Holdings Corporation,JP3814000000,2C,Japan,Asia,Technology Hardware and Equipment,Targets Set,Nov 2017,"Japanese multinational photography and imaging company, FUJIFILM Holdings Corporation commits to reduce absolute GHG emissions 30% by 2030 from a 2013 base year across its entire value chain (Scope 1, Scope 2 and Scope 3)."
Olam,SG1Q75923504,Well-below 2C,Singapore,Asia,Food Production - Agricultural Production,Targets Set,Sep 2019,"Food and agri-business company Olam International Ltd. commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 and 100% by 2050 from a 2017 base year. Olam International Ltd. also commits to reduce scope 3 GHG emissions 50% per tonne of agricultural product by 2030 and absolute scope 3 GHG emissions 67% by 2050 from a 2017 base year. *

*A footnote will be included alongside the official target wording on the SBTi website: “The target boundary includes biogenic emissions and removals from bioenergy feedstocks.”"
Lidl Belgium GmbH. & Co. KG,,2C,Belgium,Europe,Retailing,Targets Set,May 2019,Supermarket chain Lidl BE&amp;LU commits to reduce absolute scope 1 and 2 GHG emissions 34% by 2030 from a 2015 base year. Lidl BE&amp;LU commits to reduce scope 3 GHG emissions from upstream transportation and distribution and employee commuting 18% by 2030 from a 2015 base year. Lidl BE&amp;LU also commits to reduce scope 3 GHG emissions from purchased goods and services 36% per kilogram by 2030 from a 2017 base year.
"Sumitomo Forestry Co., Ltd",JP3409800004,2C,Japan,Asia,Homebuilding,Targets Set,Aug 2018,Sumitomo Forestry commits to reduce absolute scope 1 and scope 2 GHG emissions 21% by 2030 from a 2017 base-year.  Sumitomo Forestry also commits to absolute scope 3 GHG emissions from purchased goods and services and the use of sold products 16% by 2030 compared from a 2017 base-year.
Taiwan Semiconductor Manufacturing Company,TW0002330008,,"Taiwan, Province of China",Asia,Semiconductors and Semiconductors Equipment,Committed,Jul 2017,
Hindustan Zinc Limited,INE267A01025,2C,India,Asia,"Mining - Metals (Iron, Aluminium, Other Metals)",Targets Set,Sep 2018, Integrated mining and resources producer Hindustan Zinc Limited commits to reduce absolute Scopes 1 and 2 GHG emissions 14% by 2026 from a 2016 base-year. Hindustan Zinc Limited also commits to reduce absolute Scope 3 GHG emissions 20% by 2026 from a 2016 base-year.
One Jeanswear Group,US4800741039,,United States of America (USA),North America,Retailing,Committed,Jul 2017,
Cummins,US2310211063,1.5C,United States of America (USA),North America,Electrical Equipment and Machinery,Targets Set,Aug 2019,Power generation design and manufacturers Cummins Inc Cummins Inc commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2018 base year. Cummins Inc also commits to reduce absolute scope 3 GHG emissions from the use of sold products 25% by 2030 from a 2018 base year.
BEL S.A.,,2C,France,Europe,Food and Beverage Processing,Targets Set,Aug 2019,Multinational cheese marketer BEL S.A. commits to reduce absolute scope 1 and 2 GHG emissions 22% by 2030 from a 2017 base year. BEL also commits to reduce Scope 3 GHG emissions 27% per ton of finished products by 2030 from a 2017 base-year
Suntory Holdings Limited,JP3336560002,2C,Japan,Asia,Food and Beverage Processing,Targets Set,Jun 2018,"Global beverage company, Suntory Group commits to reduce absolute Scope 1 and 2 GHG emissions 25 % by 2030 from a 2015 base-year. Suntory also commits to reduce absolute Scope 3 GHG emissions 20 % within the same timeframe."
The Crown Estate,,,United Kingdom (UK),Europe,Real Estate,Committed,Jul 2017,
Las Vegas Sands,US5178341070,2C,United States of America (USA),North America,Hospitality,Targets Set,Aug 2017,American casino and resort Las Vegas Sands Corp. commits to reduce absolute scope 1 and 2 GHG emissions for resort operations 9% by 2021 from a 2015 base-year. Las Vegas Sands Corp. also commits to reduce absolute scope 1 GHG emissions of the company’s ferry operations 19% by 2030 from a 2015 base-year.
Coca Cola European Partners,US19122T1097,Well-below 2C,United Kingdom (UK),Europe,Food and Beverage Processing,Targets Set,Dec 2017,"Multinational bottling company, Coca Cola European Partners commits to reduce absolute GHG emissions from business operations 50% by 2025, from a 2010 base year. The company also commits to reduce GHG emissions per ‘drink in your hand*’ 35% by 2025, from a 2010 base-year.

* GHG emissions of the ‘drink in your hand’ refers to the GHG emissions across CCEP’s value chain (scope 1, 2 &amp; 3) associated with a litre of sold product."
Canadian National Railway Company,CA1363751027,2C,Canada,North America,Ground Transportation - Railroads,Targets Set,Jun 2017,"North American freight rail transportation company, Canadian National Railway Company commits to reduce scope 1 and 2 GHG emissions per tonne kilometer 29% by 2030 from a 2015 base-year.

&nbsp;"
Eaton,IE00B8KQN827,,Ireland,Europe,Electrical Equipment and Machinery,Committed,Sep 2017,
Levi Strauss & Co.,US52736R1023,1.5C,United States of America (USA),North America,"Textiles, Apparel, Luxury Goods",Targets Set,Jul 2018,American apparel company Levi Strauss &amp; Co. commits to reduce absolute Scope 1 and Scope 2 GHG emissions 90% by 2025 from a 2016 base-year. Levi Strauss &amp; Co. also commits to reduce absolute Scope 3 emissions from purchased goods and services 40% by 2025 from a 2016 base-year.
Gap Inc.,US3647601083,1.5C,United States of America (USA),North America,Retailing,Targets Set,Jan 2020,"American worldwide clothing and accessories retailer. Gap, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 90% and scope 3 GHG emissions from purchased goods and services 30% by 2030 from a 2017 base year. Gap Inc. also commits to increase annual sourcing of renewable electricity from 0% in 2017 to 100% by 2030 for its owned and operated facilities globally."
"NIKE, Inc.",US6541061031,1.5C,United States of America (USA),North America,"Textiles, Apparel, Luxury Goods",Targets Set,Sep 2019,"American multinational corporation  NIKE, Inc. sets a target to reduce absolute scope 1 and 2 GHG emissions 65% by 2030 from a 2015 base year. NIKE, Inc. also sets a target to reduce absolute scope 3 GHG emissions 30% within the same timefram"
EILEEN FISHER,,,United States of America (USA),North America,"Textiles, Apparel, Luxury Goods",Committed,Sep 2017,
"Guess?, Inc.",US4016171054,,United States of America (USA),North America,"Textiles, Apparel, Luxury Goods",Committed,Sep 2017,
LIXIL Group Corporation,JP3626800001,2C,Japan,Asia,Building Products,Targets Set,Nov 2017,"Japanese building material manufacturer, LIXIL Group commits to reduce absolute Scope 1 and 2 emissions 30% by 2030 from a 2015 base-year,and commits to reduce Scope 3 emissions from product use 15% by 2030 from a 2015 base-year."
La Banque Postale,,,France,Europe,"Banks, Diverse Financials and Insurance",Committed,Oct 2017,
Kilroy Realty Corporation,US49427F1084,2C,United States of America (USA),North America,Real Estate,Targets Set,Sep 2018,"KRC commits to reduce scope 1, 2 and 3 emissions 31% by 2030 and 72% by 2050 from a 2017 base-year."
UCB,BE0003739530,,Belgium,Europe,Pharmaceuticals and Biotech,Committed,Oct 2017,
La Poste SA,,1.5C,France,Europe,Air Freight Transportation and Logistics,Targets Set,Aug 2019,Postal service company La Poste SA commits to reduce absolute scope 1 and 2 GHG emissions 51% by 2025 from a 2013 base year. La Poste SA commits to reduce absolute scope 3 GHG emissions 14% by 2025 from a 2013 base year.
Target Corporation,US87612E1064,2C,United States of America (USA),North America,Retailing,Targets Set,Mar 2019,US retailer Target commits to reduce absolute scope 1 and 2 emissions and scope 3 GHG emissions from retail purchased goods and services 30% by 2030 from a 2017 base-year. Target also commits that 80% of its suppliers by spend covering all purchased goods and services will set science-based scope 1 and scope 2 targets by 2023.
Alma Media,FI0009013114,2C,Finland,Europe,Media,Targets Set,Oct 2018,Alma Media commits to reduce absolute Scope 1 and Scope 2 GHG emissions 21 % by 2025 from a 2016 base-year. Alma Media also commits to reduce Scope 3 emissions 10% by 2023 from a 2016 base-year.
