Company,ESG score,Clean200,ScienceBasedTargets,Country,Symbol NQ,Symbol NYSE,Symbol NQ North,Beta,Dividend yield,P/E
 QUALCOMM Inc ,0.49,0.0,0.0,na,QCOM,na,na,1.396201,3.56,21.577753
 Quest Diagnostics Inc ,0.57,0.0,0.0,na,na,DGX,na,1.098886,1.95,18.344804999999997
 Ralph Lauren Corp ,0.17,0.0,0.0,na,na,RL,na,1.353634,2.1,8.055196
 Raymond James Financial Inc ,0.18,0.0,0.0,na,na,RJF,na,1.533726,1.32,8.348025999999999
 Regal Beloit Corp ,0.16,0.0,0.0,na,na,RBC,na,1.449901,1.4,11.662545
 Regency Centers Corp ,0.44,0.0,0.0,na,REG,na,na,0.939096,3.24,24.793561999999998
 Reliance Steel & Aluminum Co ,0.08,0.0,0.0,na,na,RS,na,1.282252,2.28,10.285714
 RELX PLC ,0.69,0.0,0.0,na,na,RELX,na,0.252887,2.33,19.972425
 ResMed Inc ,0.2,0.0,0.0,na,na,RMD,na,0.522593,1.61,51.388447
 Restaurant Brands International Inc ,0.15,0.0,0.0,na,na,QSR,na,1.292075,1.76,19.784354999999998
 Rio Tinto PLC ,0.69,0.0,0.0,na,na,RIO,na,0.6620060000000001,5.57,9.532596
 Ritchie Bros Auctioneers Inc ,0.08,0.0,0.0,na,na,RBA,na,0.7583489999999999,2.08,31.558822999999997
 RLI Corp ,0.08,0.0,0.0,na,na,RLI,na,0.5265219999999999,1.24,48.184357
 Robert Half International Inc ,0.26,0.0,0.0,na,na,RHI,na,1.491814,1.88,11.708743
 Royal Caribbean Cruises Ltd ,0.61,0.0,0.0,na,na,RCL,na,2.282252,2.11,3.9865922999999994
 Sabra Health Care REIT Inc ,0.06,0.0,0.0,na,SBRA,na,na,1.328749,8.07,31.544718
 Sabre Corp ,0.1,0.0,0.0,na,SABR,na,na,1.7400129999999998,2.27,9.738676
 Sanofi ,0.82,0.0,1.0,France,SNY,na,na,0.440121,3.89,25.695875
 SAP SE ,0.69,1.0,1.0,Germany,na,SAP,na,0.964133,1.45,28.144479999999998
 Sasol Ltd ,0.59,0.0,0.0,na,na,SSL,na,1.368608,4.02,3.4479462999999995
 Schnitzer Steel Industries Inc ,0.35,0.0,0.0,na,SCHN,na,na,1.3732799999999998,3.51,15.648679999999999
 Science Applications International Corp ,0.12,0.0,0.0,na,na,SAIC,na,1.1015059999999999,1.85,22.258485999999998
 Seagate Technology PLC ,0.32,0.0,1.0,Ireland,STX,na,na,1.246889,5.85,7.167281
 Sealed Air Corp ,0.26,0.0,0.0,na,na,SEE,na,1.087753,1.42,16.838060000000002
 SEI Investments Co ,0.19,0.0,0.0,na,SEIC,na,na,1.3719709999999998,1.05,15.106745000000002
 Shaw Communications Inc ,0.14,0.0,0.0,na,na,SJR,na,0.5174409999999999,4.52,219.45946
 Silicon Motion Technology Corp ,0.06,0.0,0.0,na,SIMO,na,na,1.217419,2.17,23.986893
 Six Flags Entertainment Corp ,0.07,0.0,0.0,na,na,SIX,na,1.759004,5.22,7.582938700000001
 SK Telecom Co Ltd ,0.84,0.0,1.0,South Korea,na,SKM,na,0.250891,4.17,4.210853
 Skanska AB ,0.38,1.0,1.0,Sweden,na,na,SKA-B.ST,0.795136,4.11,11.757866
 Smith & Nephew PLC ,0.64,0.0,0.0,na,na,SNN,na,0.24316100000000002,1.89,28.172514000000003
 Snap-on Inc ,0.13,0.0,0.0,na,na,SNA,na,1.331368,1.85,9.8825035
 Sociedad Quimica y Minera de Chile SA ,0.24,0.0,0.0,na,na,SQM,na,1.061558,3.48,20.25544
 Southern Copper Corp ,0.45,0.0,0.0,na,na,SCCO,na,1.0432219999999999,2.16,15.998959
 Southwest Airlines Co ,0.36,0.0,0.0,na,na,LUV,na,1.6313030000000002,0.92,6.868852599999999
 Southwest Gas Holdings Inc ,0.28,0.0,0.0,na,na,SWX,na,0.224623,2.54,19.832487
 SS&C Technologies Holdings Inc ,0.09,0.0,0.0,na,SSNC,na,na,1.383759,0.68,30.849397999999997
 Starbucks Corp ,0.47,0.0,0.0,na,SBUX,na,na,0.7177469999999999,1.64,24.755978
 STERIS PLC ,0.14,0.0,0.0,na,na,STE,na,0.857891,1.26,32.134785
 STMicroelectronics NV ,0.83,1.0,0.0,na,na,STM,na,1.243768,2.69,56.583709999999996
 Stora Enso OYJ ,0.37,0.0,1.0,Finland,na,na,STERV.HE,1.330091,3.64,10.059171000000001
 STORE Capital Corp ,0.08,0.0,0.0,na,na,STOR,na,0.994106,4.17,12.744149
 Stryker Corp ,0.18,0.0,0.0,na,na,SYK,na,0.8480679999999999,1.19,34.328465
 Sumitomo Mitsui Financial Group Inc ,0.49,0.0,0.0,na,na,SMFG,na,1.297264,3.94,4.764595
 Sun Life Financial Inc ,0.65,0.0,0.0,na,na,SLF,na,1.03073,3.61,11.760031
 Swedish Match AB ,0.32,0.0,1.0,Sweden,na,na,SWMA.ST,0.184194,2.55,26.913633
 Sysco Corp ,0.26,0.0,0.0,na,na,SYY,na,1.0150620000000001,2.42,15.191757999999998
 Target Corp ,0.41,0.0,1.0,United States of America (USA),na,TGT,na,0.6496390000000001,3.19,16.944838
 TD Ameritrade Holding Corp ,0.18,0.0,0.0,na,AMTD,na,na,1.272429,1.89,10.419978
 TE Connectivity Ltd ,0.58,1.0,0.0,na,na,TEL,na,1.305828,1.99,14.881205
 Teck Resources Ltd ,0.9,0.0,0.0,na,na,TECK,na,1.898671,1.82,1.6550951
 Tele2 AB ,0.38,0.0,1.0,Sweden,na,na,TEL2-B.ST,0.603039,4.84,17.024378
 Teleflex Inc ,0.17,0.0,0.0,na,na,TFX,na,0.9711850000000001,0.67,34.533120000000004
 Telefonica Brasil SA ,0.66,0.0,0.0,na,na,VIV,na,0.608402,5.17,5.8452720000000005
 Telefonica SA ,0.72,0.0,0.0,na,na,TEF,na,1.08389,6.78,6.933962299999999
 TELUS Corp ,0.82,0.0,0.0,na,na,TU,na,0.588039,4.3,8.530352
 Tenaris SA ,0.28,0.0,0.0,na,na,TS,na,1.236474,3.19,10.111288
 Texas Instruments Inc ,0.52,0.0,0.0,na,TXN,na,na,1.13163,2.45,21.834035999999998
 Textron Inc ,0.22,0.0,0.0,na,na,TXT,na,1.880157,0.17,7.7228575
 Thermo Fisher Scientific Inc ,0.23,0.0,0.0,na,na,TMO,na,0.995415,0.34,36.033768
 Thomson Reuters Corp ,0.26,0.0,1.0,Canada,na,TRI,na,0.408637,3.0,22.802446
 Tiffany & Co ,0.31,0.0,0.0,na,na,TIF,na,1.246234,2.05,28.393259999999998
 TOTAL SA ,0.72,0.0,0.0,na,na,TOT,na,0.7677809999999999,5.47,8.189447999999999
 Tractor Supply Co ,0.16,0.0,0.0,na,TSCO,na,na,0.847413,1.27,21.42437
 UGI Corp ,0.08,0.0,0.0,na,na,UGI,na,0.937131,2.22,13.289411999999999
 Ultrapar Participacoes SA ,0.26,0.0,0.0,na,na,UGP,na,0.8949659999999999,2.77,4.550669
 UMB Financial Corp ,0.17,0.0,0.0,na,UMBF,na,na,1.0602479999999999,1.67,9.110887
 Unilever NV ,0.9,0.0,1.0,United Kingdom (UK),na,UL,na,0.4462,3.05,20.411556
 Union Pacific Corp ,0.28,0.0,1.0,United States of America (USA),na,UNP,na,1.0753110000000001,2.19,18.141562
 United Microelectronics Corp ,0.83,0.0,0.0,na,na,UMC,na,0.518034,4.22,19.037035
 United Parcel Service Inc ,0.62,0.0,0.0,na,na,UPS,na,0.9489190000000001,3.08,19.604696
 Universal Health Services Inc ,0.13,0.0,0.0,na,na,UHS,na,1.13032,0.34,11.133625
 UPM-Kymmene OYJ ,0.89,0.0,1.0,Finland,na,na,UPM.HE,1.075987,4.23,13.513514
 US Bancorp ,0.34,0.0,0.0,na,BSRR,USB^P,na,1.182056,2.38,8.154867
 Valmet OYJ ,0.82,0.0,1.0,Finland,na,na,VALMT.HE,0.8297869999999999,2.87,14.658921
 Vedanta Ltd ,0.51,0.0,0.0,na,na,VEDL,na,1.81411,7.49,3.3881578
 VEON Ltd ,0.37,0.0,0.0,na,VEON,na,na,1.6496389999999999,6.65,4.591549400000001
 Visa Inc ,0.58,0.0,0.0,na,na,V,na,0.943025,0.63,30.549570000000003
 Vulcan Materials Co ,0.17,0.0,0.0,na,na,VMC,na,0.9279629999999999,0.73,22.017696
 Walgreens Boots Alliance Inc ,0.27,0.0,0.0,na,WBA,na,na,0.713163,2.24,11.25
 Walmart Inc ,0.28,0.0,0.0,na,na,WMT,na,0.281597,2.45,24.94027
 Walt Disney Co ,0.25,0.0,0.0,na,na,DIS,na,1.100851,1.43,17.029621
 Welltower Inc ,0.71,0.0,0.0,na,na,WELL,na,0.840864,4.95,14.445901999999998
 Western Union Co ,0.15,0.0,0.0,na,na,WU,na,0.9836280000000001,3.44,7.520325
 Westinghouse Air Brake Technologies Corp ,0.12,0.0,0.0,na,na,WAB,na,1.521938,0.51,29.090908000000002
 Westpac Banking Corp ,0.83,0.0,1.0,Australia,na,WBK,na,0.8547110000000001,6.46,5.7965903
 Westrock Co ,0.62,0.0,0.0,na,na,WRK,na,1.622789,3.39,8.698795
 Wheaton Precious Metals Corp ,0.23,0.0,0.0,na,na,WPM,na,0.23754099999999997,1.41,208.5263
 Whirlpool Corp ,0.57,0.0,1.0,United States of America (USA),na,WHR,na,1.88867,2.74,5.668292500000001
 Willis Towers Watson PLC ,0.16,0.0,0.0,na,WLTW,na,na,0.8330049999999999,1.75,22.097255999999998
 Wipro Ltd ,0.8,0.0,1.0,India,na,WIT,na,0.30717300000000003,0.68,11.902835000000001
 WPP PLC ,0.54,0.0,0.0,na,na,WPP,na,1.092401,4.54,3.4375315000000004
 Xylem Inc/NY ,0.66,0.0,0.0,na,na,XYL,na,1.123772,1.25,31.004521999999998
 Zimmer Biomet Holdings Inc ,0.32,0.0,0.0,na,na,ZBH,na,1.29535,0.8,21.288849
 Zoetis Inc ,0.19,0.0,0.0,na,na,ZTS,na,0.788474,0.63,40.485535
